"epoch","5_cont - _step","5_cont - _step__MIN","5_cont - _step__MAX","5_cont - train_loss","5_cont - train_loss__MIN","5_cont - train_loss__MAX","5_cont - val_loss","5_cont - val_loss__MIN","5_cont - val_loss__MAX","7_cont - _step","7_cont - _step__MIN","7_cont - _step__MAX","7_cont - train_loss","7_cont - train_loss__MIN","7_cont - train_loss__MAX","7_cont - val_loss","7_cont - val_loss__MIN","7_cont - val_loss__MAX","7_swin - _step","7_swin - _step__MIN","7_swin - _step__MAX","7_swin - train_loss","7_swin - train_loss__MIN","7_swin - train_loss__MAX","7_swin - val_loss","7_swin - val_loss__MIN","7_swin - val_loss__MAX","6_5 levels - _step","6_5 levels - _step__MIN","6_5 levels - _step__MAX","6_5 levels - train_loss","6_5 levels - train_loss__MIN","6_5 levels - train_loss__MAX","6_5 levels - val_loss","6_5 levels - val_loss__MIN","6_5 levels - val_loss__MAX","5_input size 256 and dropout - _step","5_input size 256 and dropout - _step__MIN","5_input size 256 and dropout - _step__MAX","5_input size 256 and dropout - train_loss","5_input size 256 and dropout - train_loss__MIN","5_input size 256 and dropout - train_loss__MAX","5_input size 256 and dropout - val_loss","5_input size 256 and dropout - val_loss__MIN","5_input size 256 and dropout - val_loss__MAX","ScaleIntensity added 2 - _step","ScaleIntensity added 2 - _step__MIN","ScaleIntensity added 2 - _step__MAX","ScaleIntensity added 2 - train_loss","ScaleIntensity added 2 - train_loss__MIN","ScaleIntensity added 2 - train_loss__MAX","ScaleIntensity added 2 - val_loss","ScaleIntensity added 2 - val_loss__MIN","ScaleIntensity added 2 - val_loss__MAX","4_input size 128 no intensity scaling, histogram equilisation - _step","4_input size 128 no intensity scaling, histogram equilisation - _step__MIN","4_input size 128 no intensity scaling, histogram equilisation - _step__MAX","4_input size 128 no intensity scaling, histogram equilisation - train_loss","4_input size 128 no intensity scaling, histogram equilisation - train_loss__MIN","4_input size 128 no intensity scaling, histogram equilisation - train_loss__MAX","4_input size 128 no intensity scaling, histogram equilisation - val_loss","4_input size 128 no intensity scaling, histogram equilisation - val_loss__MIN","4_input size 128 no intensity scaling, histogram equilisation - val_loss__MAX","Third_Run (128x128) - _step","Third_Run (128x128) - _step__MIN","Third_Run (128x128) - _step__MAX","Third_Run (128x128) - train_loss","Third_Run (128x128) - train_loss__MIN","Third_Run (128x128) - train_loss__MAX","Third_Run (128x128) - val_loss","Third_Run (128x128) - val_loss__MIN","Third_Run (128x128) - val_loss__MAX","2_cont - _step","2_cont - _step__MIN","2_cont - _step__MAX","2_cont - train_loss","2_cont - train_loss__MIN","2_cont - train_loss__MAX","2_cont - val_loss","2_cont - val_loss__MIN","2_cont - val_loss__MAX","2_z-score_normalisation - _step","2_z-score_normalisation - _step__MIN","2_z-score_normalisation - _step__MAX","2_z-score_normalisation - train_loss","2_z-score_normalisation - train_loss__MIN","2_z-score_normalisation - train_loss__MAX","2_z-score_normalisation - val_loss","2_z-score_normalisation - val_loss__MIN","2_z-score_normalisation - val_loss__MAX"
"0","","","","","","","","","","","","","","","","","","","0","0","0","0.5387623054640633","0.5387623054640633","0.5387623054640633","0.45012285234751526","0.45012285234751526","0.45012285234751526","0","0","0","0.5865343486060616","0.5865343486060616","0.5865343486060616","0.41510866284370423","0.41510866284370423","0.41510866284370423","0","0","0","0.5926943008138352","0.5926943008138352","0.5926943008138352","0.39410481055577595","0.39410481055577595","0.39410481055577595","0","0","0","0.48838136432801976","0.48838136432801976","0.48838136432801976","0.3380879810474619","0.3380879810474619","0.3380879810474619","0","0","0","0.6388761827550015","0.6388761827550015","0.6388761827550015","0.5717914313853452","0.5717914313853452","0.5717914313853452","0","0","0","0.6520492515894545","0.6520492515894545","0.6520492515894545","0.5529612035777932","0.5529612035777932","0.5529612035777932","","","","","","","","","","0","0","0","0.6518391330702966","0.6518391330702966","0.6518391330702966","0.6026781578046239","0.6026781578046239","0.6026781578046239"
"1","","","","","","","","","","","","","","","","","","","1","1","1","0.4251567521015135","0.4251567521015135","0.4251567521015135","0.42465352438114307","0.42465352438114307","0.42465352438114307","1","1","1","0.3642212471791676","0.3642212471791676","0.3642212471791676","0.31495691902107664","0.31495691902107664","0.31495691902107664","1","1","1","0.36318433391196386","0.36318433391196386","0.36318433391196386","0.3134202978125325","0.3134202978125325","0.3134202978125325","1","1","1","0.3095063633841126","0.3095063633841126","0.3095063633841126","0.27360121088732575","0.27360121088732575","0.27360121088732575","1","1","1","0.5101738714871287","0.5101738714871287","0.5101738714871287","0.43467761675886063","0.43467761675886063","0.43467761675886063","1","1","1","0.529120327857863","0.529120327857863","0.529120327857863","0.45175003119117707","0.45175003119117707","0.45175003119117707","","","","","","","","","","1","1","1","0.5763469292085712","0.5763469292085712","0.5763469292085712","0.5173454283006129","0.5173454283006129","0.5173454283006129"
"2","","","","","","","","","","","","","","","","","","","2","2","2","0.3991294722972798","0.3991294722972798","0.3991294722972798","0.4036264272751632","0.4036264272751632","0.4036264272751632","2","2","2","0.29459297613186","0.29459297613186","0.29459297613186","0.274495463569959","0.274495463569959","0.274495463569959","2","2","2","0.3009827527053216","0.3009827527053216","0.3009827527053216","0.27986404647429786","0.27986404647429786","0.27986404647429786","2","2","2","0.26980630439870495","0.26980630439870495","0.26980630439870495","0.25003845322198587","0.25003845322198587","0.25003845322198587","2","2","2","0.41020231769114984","0.41020231769114984","0.41020231769114984","0.37845713454108254","0.37845713454108254","0.37845713454108254","2","2","2","0.4532444897819968","0.4532444897819968","0.4532444897819968","0.4960520538920363","0.4960520538920363","0.4960520538920363","","","","","","","","","","2","2","2","0.555513156812732","0.555513156812732","0.555513156812732","0.5143279514126619","0.5143279514126619","0.5143279514126619"
"3","","","","","","","","","","","","","","","","","","","3","3","3","0.3714499093529557","0.3714499093529557","0.3714499093529557","0.3705498853215465","0.3705498853215465","0.3705498853215465","3","3","3","0.26266123341912984","0.26266123341912984","0.26266123341912984","0.23570125031250494","0.23570125031250494","0.23570125031250494","3","3","3","0.26249856983914094","0.26249856983914094","0.26249856983914094","0.23593820819148312","0.23593820819148312","0.23593820819148312","3","3","3","0.2468337336508166","0.2468337336508166","0.2468337336508166","0.2349796524499872","0.2349796524499872","0.2349796524499872","3","3","3","0.37056723193210717","0.37056723193210717","0.37056723193210717","0.3815693801552833","0.3815693801552833","0.3815693801552833","3","3","3","0.3788979464844495","0.3788979464844495","0.3788979464844495","0.35710874543314086","0.35710874543314086","0.35710874543314086","","","","","","","","","","3","3","3","0.4695443528539994","0.4695443528539994","0.4695443528539994","0.42401365930262996","0.42401365930262996","0.42401365930262996"
"4","","","","","","","","","","","","","","","","","","","4","4","4","0.34245814677296565","0.34245814677296565","0.34245814677296565","0.3483924182476821","0.3483924182476821","0.3483924182476821","4","4","4","0.24061989546323023","0.24061989546323023","0.24061989546323023","0.31795881826568534","0.31795881826568534","0.31795881826568534","4","4","4","0.24285604732752847","0.24285604732752847","0.24285604732752847","0.22588607056273355","0.22588607056273355","0.22588607056273355","4","4","4","0.2370339155729328","0.2370339155729328","0.2370339155729328","0.23039372478608305","0.23039372478608305","0.23039372478608305","4","4","4","0.3389897684590155","0.3389897684590155","0.3389897684590155","0.3290734636739284","0.3290734636739284","0.3290734636739284","4","4","4","0.34339816138899626","0.34339816138899626","0.34339816138899626","0.3105784654063363","0.3105784654063363","0.3105784654063363","","","","","","","","","","4","4","4","0.4213911836826","0.4213911836826","0.4213911836826","0.40157238216759106","0.40157238216759106","0.40157238216759106"
"5","","","","","","","","","","","","","","","","","","","5","5","5","0.32179281303361684","0.32179281303361684","0.32179281303361684","0.3256639274182143","0.3256639274182143","0.3256639274182143","5","5","5","0.23214454673418478","0.23214454673418478","0.23214454673418478","0.23726096219486661","0.23726096219486661","0.23726096219486661","5","5","5","0.225740891356929","0.225740891356929","0.225740891356929","0.2086657797296842","0.2086657797296842","0.2086657797296842","5","5","5","0.23060986349562637","0.23060986349562637","0.23060986349562637","0.23725562681163553","0.23725562681163553","0.23725562681163553","5","5","5","0.3142059180541199","0.3142059180541199","0.3142059180541199","0.31720036423339276","0.31720036423339276","0.31720036423339276","5","5","5","0.32911401767941084","0.32911401767941084","0.32911401767941084","0.3248595120627641","0.3248595120627641","0.3248595120627641","","","","","","","","","","5","5","5","0.40122998900273266","0.40122998900273266","0.40122998900273266","0.38515910423156496","0.38515910423156496","0.38515910423156496"
"6","","","","","","","","","","","","","","","","","","","6","6","6","0.31048253084681615","0.31048253084681615","0.31048253084681615","0.3194461121603295","0.3194461121603295","0.3194461121603295","6","6","6","0.22254046556704185","0.22254046556704185","0.22254046556704185","0.21297357430060704","0.21297357430060704","0.21297357430060704","6","6","6","0.21838481439387097","0.21838481439387097","0.21838481439387097","0.23559212546657632","0.23559212546657632","0.23559212546657632","6","6","6","0.21869228492263987","0.21869228492263987","0.21869228492263987","0.21428556828915407","0.21428556828915407","0.21428556828915407","6","6","6","0.2959460454891209","0.2959460454891209","0.2959460454891209","0.3083869446775284","0.3083869446775284","0.3083869446775284","6","6","6","0.3049786878014062","0.3049786878014062","0.3049786878014062","0.2925113877177682","0.2925113877177682","0.2925113877177682","","","","","","","","","","6","6","6","0.37446827306842606","0.37446827306842606","0.37446827306842606","0.36026316055799507","0.36026316055799507","0.36026316055799507"
"7","","","","","","","","","","","","","","","","","","","7","7","7","0.3014782626463586","0.3014782626463586","0.3014782626463586","0.31663484352606314","0.31663484352606314","0.31663484352606314","7","7","7","0.217681193051218","0.217681193051218","0.217681193051218","0.2177799118337808","0.2177799118337808","0.2177799118337808","7","7","7","0.2128926001864822","0.2128926001864822","0.2128926001864822","0.21245279825396007","0.21245279825396007","0.21245279825396007","7","7","7","0.22020962471220673","0.22020962471220673","0.22020962471220673","0.22115932531017796","0.22115932531017796","0.22115932531017796","7","7","7","0.30021425690345405","0.30021425690345405","0.30021425690345405","0.2985588107742785","0.2985588107742785","0.2985588107742785","7","7","7","0.2892729140692899","0.2892729140692899","0.2892729140692899","0.5339435941667805","0.5339435941667805","0.5339435941667805","","","","","","","","","","7","7","7","0.3534288857163501","0.3534288857163501","0.3534288857163501","0.3383795324034407","0.3383795324034407","0.3383795324034407"
"8","","","","","","","","","","","","","","","","","","","8","8","8","0.291157809250495","0.291157809250495","0.291157809250495","0.3090102419257164","0.3090102419257164","0.3090102419257164","8","8","8","0.21462503228993976","0.21462503228993976","0.21462503228993976","0.20037241710556877","0.20037241710556877","0.20037241710556877","8","8","8","0.20867321815560846","0.20867321815560846","0.20867321815560846","0.20389952135306819","0.20389952135306819","0.20389952135306819","8","8","8","0.21116162792724721","0.21116162792724721","0.21116162792724721","0.20683345458986147","0.20683345458986147","0.20683345458986147","8","8","8","0.2810653618560368","0.2810653618560368","0.2810653618560368","0.2638820653511246","0.2638820653511246","0.2638820653511246","8","8","8","0.2782739075448583","0.2782739075448583","0.2782739075448583","0.2695937414539348","0.2695937414539348","0.2695937414539348","","","","","","","","","","8","8","8","0.3521109147920829","0.3521109147920829","0.3521109147920829","0.32525206817016283","0.32525206817016283","0.32525206817016283"
"9","","","","","","","","","","","","","","","","","","","9","9","9","0.28153855472552675","0.28153855472552675","0.28153855472552675","0.2892750127447976","0.2892750127447976","0.2892750127447976","9","9","9","0.20522567204066686","0.20522567204066686","0.20522567204066686","0.20374055593102067","0.20374055593102067","0.20374055593102067","9","9","9","0.20177619106003217","0.20177619106003217","0.20177619106003217","0.19633862936386356","0.19633862936386356","0.19633862936386356","9","9","9","0.21132646776547953","0.21132646776547953","0.21132646776547953","0.20243989228925297","0.20243989228925297","0.20243989228925297","9","9","9","0.2992693144327202","0.2992693144327202","0.2992693144327202","0.2649745807661","0.2649745807661","0.2649745807661","9","9","9","0.2747878410047343","0.2747878410047343","0.2747878410047343","0.2689955088839655","0.2689955088839655","0.2689955088839655","","","","","","","","","","9","9","9","0.33331234620085787","0.33331234620085787","0.33331234620085787","0.31836645396557883","0.31836645396557883","0.31836645396557883"
